entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-08-02 10:55:00,2023-08-02 11:35:00,long,1948.59,1951.32,0.243,36.45,102150.85,40.0,5M_DC,25.71627402705896,51.581898524327585,90.19846850828162
2023-08-03 19:00:00,2023-08-03 20:00:00,long,1934.03,1935.36,0.103,15.45,102166.3,60.0,5M_DC,18.678274633878896,54.29292929234203,80.82889888467766
2023-08-04 02:05:00,2023-08-04 04:05:00,long,1935.3899999999999,1936.27,0.058,8.7,102175.0,120.0,5M_DC,36.63408721853282,64.46745601005358,76.05269637678742
2023-08-04 05:25:00,2023-08-04 08:35:00,long,1935.53,1936.19,0.036,5.4,102180.4,190.0,5M_DC,41.17323463906698,50.22041974499774,86.86711181776103
2023-08-04 18:05:00,2023-08-04 18:55:00,long,1939.35,1942.56,0.291,43.65,102224.05,50.0,5M_DC,62.706068976053835,77.12685437446,85.8282961989518
2023-08-04 20:30:00,2023-08-04 22:05:00,long,1941.25,1941.25,-0.03,-4.5,102219.55,95.0,5M_DC,78.93251688606868,76.21858916102194,81.29509098203289
2023-08-14 10:05:00,2023-08-14 10:50:00,long,1912.21,1914.8,0.229,34.35,102253.9,45.0,5M_DC,20.550744981516274,56.72287130954063,89.01732911121753
2023-08-14 12:05:00,2023-08-14 16:35:00,long,1914.06,1904.06,-1.03,-154.5,102099.4,270.0,SL_or_BE,39.42113455281818,37.60261761644751,7.50823566821859
2023-08-15 14:20:00,2023-08-15 16:20:00,long,1902.62,1905.19,0.227,34.05,102133.45,120.0,5M_DC,28.027777674306908,56.23313821581775,82.70974120150025
2023-08-15 18:30:00,2023-08-16 01:20:00,long,1907.55,1902.17,-0.568,-85.2,102048.25,410.0,5M_DC,33.80203501062103,29.58063838058938,75.40650406044348
2023-08-16 07:30:00,2023-08-16 09:45:00,long,1903.8899999999999,1905.4,0.121,18.15,102066.4,135.0,5M_DC,46.54090028937071,83.40652948558066,77.69795606605568
2023-08-21 05:05:00,2023-08-21 05:35:00,long,1886.25,1889.95,0.34,51.0,102117.4,30.0,5M_DC,38.46444459320794,50.04331430782016,93.7607252258519
2023-08-21 13:30:00,2023-08-21 14:50:00,long,1887.6399999999999,1891.94,0.4,60.0,102177.4,80.0,5M_DC,64.08334342367549,59.29257966351121,89.84500397613725
2023-08-21 16:55:00,2023-08-21 18:30:00,long,1890.22,1888.76,-0.176,-26.4,102151.0,95.0,5M_DC,61.418592960892006,22.621323178164875,86.28241964324309
2023-08-21 22:45:00,2023-08-21 23:35:00,long,1894.6699999999998,1894.52,-0.045,-6.75,102144.25,50.0,5M_DC,74.14477049993121,68.76232741566422,75.04575161918724
2023-08-25 01:35:00,2023-08-25 02:10:00,short,1916.5800000000002,1916.07,0.021,3.15,102147.4,35.0,5M_GC,69.65059419129824,29.800155850765563,19.78962851822872
2023-08-29 13:00:00,2023-08-29 13:35:00,short,1923.54,1921.38,0.186,27.9,102175.3,35.0,5M_GC,64.96023787300972,35.74560230534837,9.913696081969203
2023-08-31 10:20:00,2023-08-31 12:05:00,short,1944.66,1944.52,-0.016,-2.4,102172.9,105.0,5M_GC,73.44192634508914,33.333333332594215,20.228528078433584
2023-08-31 17:10:00,2023-08-31 18:50:00,short,1942.49,1940.76,0.143,21.45,102194.35,100.0,5M_GC,63.928234182738755,34.93953741202079,23.447417053734778
2023-08-31 19:35:00,2023-08-31 20:30:00,short,1941.46,1940.28,0.088,13.2,102207.55,55.0,5M_GC,52.08693198792562,21.895054737387195,23.046308860287695
2023-08-31 21:25:00,2023-08-31 22:30:00,short,1941.42,1940.89,0.023,3.45,102211.0,65.0,5M_GC,52.08693198792562,18.271045677406278,20.253960269273495
2023-09-01 20:35:00,2023-09-01 21:35:00,short,1941.1000000000001,1940.75,0.005,0.75,102211.75,60.0,5M_GC,42.765655750462976,30.738738738572916,23.90261574381363
2023-09-07 22:55:00,2023-09-08 03:10:00,long,1919.02,1920.87,0.155,23.25,102235.0,255.0,5M_DC,37.27185398628257,66.17230053834352,84.06906282427472
2023-09-13 02:20:00,2023-09-13 07:15:00,long,1913.35,1910.49,-0.316,-47.4,102187.6,295.0,5M_DC,23.875210921802942,30.147887323410174,97.69568150641847
2023-09-13 08:55:00,2023-09-13 10:35:00,long,1910.3899999999999,1910.72,0.003,0.45,102188.05,100.0,5M_DC,24.431077340228146,44.71830985836652,83.78367117590473
2023-09-13 13:10:00,2023-09-13 16:00:00,long,1911.69,1911.96,-0.003,-0.45,102187.6,170.0,5M_DC,28.619405819906756,78.92689337365319,77.13963963877178
2023-09-14 04:40:00,2023-09-14 11:45:00,long,1911.3999999999999,1906.56,-0.514,-77.1,102110.5,425.0,5M_DC,42.7102557992298,14.12996545749587,81.06995884240617
2023-09-14 17:15:00,2023-09-14 17:50:00,long,1901.97,1909.22,0.695,104.25,102214.75,35.0,5M_DC,35.138966706001646,43.74165405456421,91.54265461568137
2023-09-14 18:50:00,2023-09-14 19:20:00,long,1907.3,1910.36,0.276,41.4,102256.15,30.0,5M_DC,35.138966706001646,76.19434963786928,91.11962816611252
2023-09-14 20:10:00,2023-09-14 22:35:00,long,1910.55,1909.11,-0.174,-26.1,102230.05,145.0,5M_DC,50.04488096017426,70.48984468276136,80.20833332707276
2023-09-18 13:10:00,2023-09-18 15:05:00,short,1926.31,1926.18,-0.017,-2.55,102227.5,115.0,5M_GC,78.66584280860334,22.874000998590606,14.8603130695684
2023-09-19 18:05:00,2023-09-19 18:45:00,short,1933.63,1932.45,0.088,13.2,102240.7,40.0,5M_GC,78.44655773133131,56.644142835168374,17.062969755223115
2023-09-20 11:35:00,2023-09-20 14:45:00,short,1929.69,1931.54,-0.215,-32.25,102208.45,190.0,5M_GC,24.18326348337619,90.21569903393417,15.580876145978811
2023-09-29 05:50:00,2023-09-29 07:55:00,long,1865.3799999999999,1864.88,-0.08,-12.0,102196.45,125.0,5M_DC,24.71900918031486,46.653196230237505,84.21826916854741
2023-10-03 12:10:00,2023-10-03 12:35:00,long,1825.72,1826.0,-0.002,-0.3,102196.15,25.0,5M_DC,25.095875337383887,76.17948717892902,76.11850907447781
2023-10-03 13:20:00,2023-10-03 17:45:00,long,1826.33,1829.68,0.305,45.75,102241.9,265.0,5M_DC,29.777733810447316,63.24873375554376,79.51635846316104
